"Specialized Traces WorkflowID"	"Specialized Traces ID"	"Checked"	"File ID"	"TraceDetector Type"	"Description"	"Scan Filter"	"Spectrum File"
"-116"	"73"	"False"	"F37"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_G6.raw"
"-116"	"74"	"False"	"F37"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_G6.raw"
"-116"	"75"	"False"	"F38"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_H5.raw"
"-116"	"76"	"False"	"F38"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_H5.raw"
"-116"	"77"	"False"	"F39"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_H6.raw"
"-116"	"78"	"False"	"F39"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_H6.raw"
"-116"	"79"	"False"	"F40"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_I6.raw"
"-116"	"80"	"False"	"F40"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_I6.raw"
"-116"	"81"	"False"	"F41"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_K7.raw"
"-116"	"82"	"False"	"F41"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_K7.raw"
"-116"	"83"	"False"	"F42"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C2.raw"
"-116"	"84"	"False"	"F42"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C2.raw"
"-116"	"85"	"False"	"F43"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C3.raw"
"-116"	"86"	"False"	"F43"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C3.raw"
"-116"	"87"	"False"	"F44"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C4.raw"
"-116"	"88"	"False"	"F44"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_C4.raw"
"-116"	"89"	"False"	"F45"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_Healthy_CH1_E3.raw"
